time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electricity_unitized,incremental_gas_unitized
2018-01-01T15:00:00Z,289768.6836335997,1512075.5502728885,259275.4469642429,1076986.941377133,-30493.23666935682,-435088.6088957556,2.2523122949923567e-4,6.81100985366729e-4
2018-01-01T16:00:00Z,281940.5454562771,1559506.0057298858,252938.3716784883,1126202.484295014,-29002.17377778879,-433303.5214348717,2.142178388260823e-4,6.783065549823998e-4
2018-01-01T17:00:00Z,276866.559131311,1534124.556225425,246579.5413113507,1096471.5741451485,-30287.01781996031,-437652.9820802766,2.2370804173471183e-4,6.851153334032315e-4
2018-01-01T18:00:00Z,282058.98350261897,1570678.2839674726,250494.44491914744,1131702.573129184,-31564.538583471527,-438975.71083828853,2.3314415294181063e-4,6.871859733649196e-4
2018-01-01T19:00:00Z,297755.1028375267,1708511.2024003589,267991.7133233467,1269728.1907539046,-29763.389514180017,-438783.0116464542,2.198403825422715e-4,6.868843161696857e-4
2018-01-01T20:00:00Z,338030.17721939867,1950957.5152743969,308459.99919314106,1510842.9784047045,-29570.178026257607,-440114.5368696924,2.1841327064037644e-4,6.889687263864685e-4
2018-01-01T21:00:00Z,389522.46274947625,2167873.2517954484,359948.3296028599,1717040.2323682785,-29574.13314661634,-450833.0194271698,2.1844248422078034e-4,7.057477660631499e-4
2018-01-01T22:00:00Z,404337.56874183967,2369669.3664247426,376594.34622517985,1945878.0927932053,-27743.222516659822,-423791.27363153733,2.0491888694706972e-4,6.634157919988627e-4
2018-01-01T23:00:00Z,429027.1044554587,2472765.062376869,404137.07993794186,2092049.1548767835,-24890.02451751684,-380715.9075000854,1.8384440081364056e-4,5.959842993849206e-4
2018-01-02T00:00:00Z,455169.5916187442,2466592.266303609,435370.0142597984,2148398.1145597952,-19799.577358945797,-318194.1517438139,1.4624499197889355e-4,4.981108350335308e-4
2018-01-02T01:00:00Z,469354.1563740512,2336009.6581917047,453124.1619562876,2068644.0370503347,-16229.994417763606,-267365.6211413699,1.19879094407584e-4,4.185423021640295e-4
2018-01-02T02:00:00Z,471348.4734677841,2204350.215618878,456555.4556864894,1972467.1481227973,-14793.017781294708,-231883.06749608088,1.0926519932970237e-4,3.6299682991535365e-4
2018-01-02T03:00:00Z,467867.655238518,2107313.4999848325,454087.4449283177,1897212.7723905158,-13780.210310200346,-210100.7275943167,1.0178433154140909e-4,3.288980903313918e-4
2018-01-02T04:00:00Z,458141.33785653603,2047176.771433683,444896.0623784912,1850934.338569999,-13245.275478044816,-196242.43286368414,9.783315931083267e-5,3.072038928655191e-4
2018-01-02T05:00:00Z,437691.9283888178,1951825.4371156741,423189.0465523163,1750083.8774925023,-14502.881836501532,-201741.5596231718,1.0712217737777693e-4,3.1581239370411716e-4
2018-01-02T06:00:00Z,404278.4549986525,1836911.4820650956,387722.9999053771,1613743.217817179,-16555.455093275406,-223168.26424791664,1.2228303430068295e-4,3.493544109729998e-4
2018-01-02T07:00:00Z,399566.65219844936,1709323.139791748,380818.14871375146,1440922.8047531447,-18748.503484697896,-268400.3350386033,1.3848147826736688e-4,4.2016207487370106e-4
2018-01-02T08:00:00Z,380895.3279945247,1614742.1551346595,359500.8254808185,1309507.5760754738,-21394.50251370616,-305234.5790591857,1.5802553720146512e-4,4.778235244835393e-4
2018-01-02T09:00:00Z,363086.0048171582,1611071.760875606,339804.20433173655,1263378.527145823,-23281.80048542167,-347693.233729783,1.7196562651405905e-4,5.442895981573233e-4
2018-01-02T10:00:00Z,350414.7505302423,1626288.688787703,324869.6631064168,1244934.5310688175,-25545.087423825462,-381354.15771888546,1.8868287123864142e-4,5.969834357540352e-4
2018-01-02T11:00:00Z,337024.5362554897,1622396.9529542257,309536.5726004732,1221142.654408554,-27487.9636550165,-401254.2985456716,2.0303347649123984e-4,6.281357234695433e-4
2018-01-02T12:00:00Z,321935.95058748475,1560125.6957641745,291963.9939510061,1145169.1898664117,-29971.95663647866,-414956.5058977627,2.2138091528065565e-4,6.495855769899431e-4
2018-01-02T13:00:00Z,307301.9065618901,1505132.1777569049,276505.8548905258,1070665.779339586,-30796.051671364286,-434466.39841731894,2.2746790237042005e-4,6.801269580966419e-4
2018-01-02T14:00:00Z,295200.89608351403,1465131.3907400821,264190.82037506683,1025547.6885897461,-31010.0757084472,-439583.702150336,2.2904874134587117e-4,6.881377415180343e-4
2018-01-02T15:00:00Z,291816.2297858574,1499753.2369633182,259380.3023836939,1057298.6742821562,-32435.927402163477,-442454.56268116203,2.3958046461098492e-4,6.926318741990959e-4
2018-01-02T16:00:00Z,281848.59224811645,1504238.2445541234,250280.83659901167,1056532.1076329271,-31567.755649104773,-447706.13692119624,2.3316791505194058e-4,7.008528487695214e-4
2018-01-02T17:00:00Z,277090.0066487573,1503347.9823751973,246765.55379843077,1052741.4946000176,-30324.452850326546,-450606.4877751798,2.2398454691542299e-4,7.053931465023695e-4
2018-01-02T18:00:00Z,279920.46155126917,1527741.5101433445,248473.13423415888,1074395.2506577552,-31447.327317110292,-453346.25948558934,2.322783990725196e-4,7.096820687436938e-4
2018-01-02T19:00:00Z,291852.87365391804,1626307.1628226927,261443.10260190588,1177544.6319769542,-30409.771052012162,-448762.5308457385,2.246147300498892e-4,7.025065600555219e-4
2018-01-02T20:00:00Z,330929.911475941,1832020.5270003518,301529.9416842414,1386285.035723216,-29399.96979169961,-445735.4912771359,2.171560669412061e-4,6.977679399428237e-4
2018-01-02T21:00:00Z,381613.003904276,2048637.1213115011,353593.53120465064,1606078.9604253361,-28019.47269962536,-442558.160886165,2.0695934493561913e-4,6.927940499905716e-4
2018-01-02T22:00:00Z,395522.06867085036,2229911.5074941996,367827.128363445,1805009.6132362313,-27694.94030740537,-424901.8942579683,2.0456226159203656e-4,6.651543914187616e-4
2018-01-02T23:00:00Z,418076.1592851877,2250947.027228355,394019.8629456786,1870540.5909199899,-24056.296339509136,-380406.4363083651,1.7768626074353324e-4,5.954998437376944e-4
