time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electricity_unitized,incremental_gas_unitized
2012-01-01T15:00:00Z,175109.9691204214,220921.14028348058,251465.74831260167,117328.09749845066,76355.77919218029,-103593.04278502992,8.633591021601654e-5,8.87593280179909e-5
2012-01-01T16:00:00Z,170926.7730878691,284286.70046166604,277544.8193672871,140882.24886025034,106618.04627941799,-143404.4516014157,1.2055362630533699e-4,1.2287005397981738e-4
2012-01-01T17:00:00Z,167613.86324096457,305243.55441967706,284976.105397648,147343.46383561494,117362.24215668344,-157900.09058406213,1.327021491862073e-4,1.352900306568324e-4
2012-01-01T18:00:00Z,169812.76385937966,333795.02633453085,296536.79917372443,163594.94751891404,126724.03531434477,-170200.0788156168,1.4328758151460326e-4,1.4582875662443913e-4
2012-01-01T19:00:00Z,180929.90497461578,380638.40575160924,317574.17610471474,197509.04941472854,136644.27113009896,-183129.3563368807,1.545044481063907e-4,1.5690666256959913e-4
2012-01-01T20:00:00Z,195065.6919807258,446833.83240217494,369482.8813935422,215819.87255428024,174417.18941281643,-231013.9598478947,1.9721449986613497e-4,1.979345647894934e-4
2012-01-01T21:00:00Z,213544.2682963281,520994.8252441122,415460.9654978862,253815.51159606932,201916.69720155807,-267179.31364804285,2.2830834843335108e-4,2.2892132234130378e-4
2012-01-01T22:00:00Z,189957.30519684585,569100.0433691819,405498.55038719345,284190.13295773836,215541.2451903476,-284909.91041144356,2.437137016932967e-4,2.4411303610670767e-4
2012-01-01T23:00:00Z,187163.4203557085,564475.04536379,392724.8916890623,293509.3846915884,205561.47133335378,-270965.6606722016,2.3242951510245636e-4,2.3216549403924929e-4
2012-01-02T00:00:00Z,195427.89001373257,511936.4855050945,392681.95021600445,252738.6401827313,197254.06020227188,-259197.84532236322,2.230362784787369e-4,2.2208273795244388e-4
2012-01-02T01:00:00Z,214655.97585642294,465750.1005259458,392102.68669593957,231259.77228006296,177446.71083951663,-234490.32824588282,2.0063999683126674e-4,2.0091314437990768e-4
2012-01-02T02:00:00Z,226220.801333328,429809.33123309875,389347.4988083197,213361.32154621376,163126.69747499167,-216448.009686885,1.8444827694821697e-4,1.8545434494579558e-4
2012-01-02T03:00:00Z,232788.97116520663,404774.00454328733,394690.247873815,189643.3635184478,161901.27670860838,-215130.64102483954,1.8306268677570329e-4,1.8432561318880143e-4
2012-01-02T04:00:00Z,239614.83985242524,355477.41963198374,383550.4216962522,163085.13898802915,143935.58184382695,-192392.28064395458,1.627487742569117e-4,1.648432084502285e-4
2012-01-02T05:00:00Z,241234.99257049029,351745.7502391912,381376.7085190422,164138.58247035806,140141.7159485519,-187607.16776883317,1.5845902868989089e-4,1.6074328637179921e-4
2012-01-02T06:00:00Z,235621.93159065803,369778.31648983655,385258.68119333946,169891.28906932002,149636.74960268143,-199887.02742051653,1.691951167991841e-4,1.712647660149878e-4
