time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electricity_unitized,incremental_gas_unitized
2018-01-01T15:00:00Z,178257.58162045432,4623.742214299111,96841.30199586158,4623.751180023397,-81416.27962459275,0.00896572428609943,3.824171761519981e-4,0.0011583420639557909
2018-01-01T16:00:00Z,179806.9336039309,2624.2705545774484,94270.42074446616,2624.1145109341187,-85536.51285946474,-0.15604364332966725,4.0177016017475884e-4,-0.020160325046121266
2018-01-01T17:00:00Z,176647.0103488488,1994.8672468979585,92908.63426053463,1995.0076994427136,-83738.37608831417,0.14045254475513502,3.9332420330312153e-4,0.018146006433830006
2018-01-01T18:00:00Z,178462.3203068256,2320.8549836464063,94466.15259777519,2320.8643598428907,-83996.16770905041,0.009376196484481625,3.9453506609484043e-4,0.0012113737207743787
2018-01-01T19:00:00Z,191537.77794515534,2644.947424610448,98609.68616507541,2644.796729263314,-92928.09178007992,-0.15069534713393296,4.364888521999894e-4,-0.019469342783414525
2018-01-01T20:00:00Z,218287.85106993234,4757.767151149266,106147.556641376,4757.916228925341,-112140.29442855634,0.14907777607459138,5.267297268551244e-4,0.019260357927346858
2018-01-01T21:00:00Z,229854.1689943919,8164.781119654443,113939.93406494899,8164.824935673125,-115914.2349294429,0.04381601868226426,5.444561530191462e-4,0.005660885378042353
2018-01-01T22:00:00Z,247249.74644089874,11956.431566454996,118204.66329102563,11956.364499189258,-129045.08314987311,-0.06706726573793276,6.061325391189677e-4,-0.008664869958046242
2018-01-01T23:00:00Z,261249.60426583272,15307.263228252143,122696.59838033015,15307.25818690809,-138553.00588550256,-0.0050413440530974185,6.507918256940386e-4,-6.51325056318083e-4
2018-01-02T00:00:00Z,269368.74022437894,18409.48364344925,126703.02535377014,18409.48743860008,-142665.71487060882,0.0037951508311380167,6.701094678618122e-4,4.903209943205243e-4
2018-01-02T01:00:00Z,270698.74768879684,20961.144072780615,127035.86084727984,20961.042891926012,-143662.886841517,-0.10118085460271686,6.747932447552168e-4,-0.013072233342601594
2018-01-02T02:00:00Z,253151.65498796676,22592.107323165812,124437.93177460296,22592.184106974204,-128713.7232133638,0.07678380839206511,6.045761215106701e-4,0.009920215283571381
2018-01-02T03:00:00Z,244818.34746130064,22681.90837292253,121753.19728299053,22681.86421472583,-123065.15017831011,-0.04415819670248311,5.780444332621559e-4,-0.005705093651856341
2018-01-02T04:00:00Z,241278.07539349393,19720.42569774488,119024.4192146282,19720.509593361097,-122253.65617886573,0.08389561621879693,5.742327970001855e-4,0.01083903744378945
2018-01-02T05:00:00Z,230558.18248937442,18843.33149395543,114771.23628495164,18843.293909700056,-115786.94620442278,-0.0375842553730763,5.438582702001003e-4,-0.004855762072517509
2018-01-02T06:00:00Z,222628.3905573804,19153.35234644986,111045.36488969342,19153.306757014772,-111583.02566768698,-0.04558943508891389,5.241122018727496e-4,-0.0058900049399629095
2018-01-02T07:00:00Z,215932.9273571041,20119.789143194594,112239.71913081908,20119.797973113342,-103693.20822628503,0.008829918748233467,4.8705325346331705e-4,0.0011407964355147982
2018-01-02T08:00:00Z,207061.7062995698,19654.934749907872,111404.39682276256,19654.990273922398,-95657.30947680725,0.05552401452587219,4.493081523387207e-4,0.007173519900085052
2018-01-02T09:00:00Z,205256.82744423865,16546.932380208094,110628.81888547468,16546.967667131477,-94628.00855876396,0.03528692338295514,4.444734638427129e-4,0.004558954341863286
2018-01-02T10:00:00Z,206098.7508493456,13081.797385245669,110255.46972265662,13081.806631010913,-95843.28112668899,0.009245765244486392,4.501816723953977e-4,0.0011945224339269085
2018-01-02T11:00:00Z,207292.25504952495,10581.011388088104,109175.374824535,10580.97088122146,-98116.88022498995,-0.04050686664413661,4.608609044959437e-4,-0.00523335382794425
2018-01-02T12:00:00Z,200180.94465205583,8516.670476626467,105192.38279815087,8516.699616858528,-94988.56185390496,0.029140232061763527,4.461670044173484e-4,0.0037648220571434533
2018-01-02T13:00:00Z,194122.31990485772,6562.261665489462,101817.60262987071,6562.22096711827,-92304.71727498701,-0.04069837119186559,4.3356082454972113e-4,-0.005258095585106829
2018-01-02T14:00:00Z,178381.7161579943,5309.43534408055,96799.46004065606,5309.340112053383,-81582.25611733823,-0.09523202716718515,3.831967777495657e-4,-0.012303664420571035
2018-01-02T15:00:00Z,177030.43919837405,4780.254268188788,97982.31922278956,4780.273248904972,-79048.11997558449,0.018980716184159974,3.7129378744120656e-4,0.0024522460493466842
2018-01-02T16:00:00Z,173681.74749461262,2652.473515775997,94410.58039602105,2652.519004723307,-79271.16709859157,0.0454889473098774,3.723414532314207e-4,0.005877022249701965
2018-01-02T17:00:00Z,174380.5873477293,2032.675407229441,93330.39155278091,2032.5909511155746,-81050.19579494839,-0.08445611386628116,3.8069765832321717e-4,-0.010911451894770935
2018-01-02T18:00:00Z,175613.51044255274,2286.712188989234,94183.82355438921,2286.812286320603,-81429.68688816353,0.10009733136894283,3.82480150877671e-4,0.012932245707592589
2018-01-02T19:00:00Z,183757.550019563,2681.4036352375724,96443.67800307425,2681.40292658829,-87313.87201648875,-7.086492823873414e-4,4.101185233396081e-4,-9.155515451819235e-5
2018-01-02T20:00:00Z,204331.8009814658,4694.768230899407,101656.45424577837,4694.631869328983,-102675.34673568745,-0.13636157042401464,4.822722966480094e-4,-0.01761746601711798
2018-01-02T21:00:00Z,216679.04349001806,8192.574796054676,109541.35170505324,8192.669468100255,-107137.69178496482,0.09467204557950026,5.032322004980624e-4,0.012231316642816835
2018-01-02T22:00:00Z,231554.85904574834,11993.860869473725,113255.53207340013,11993.697757654554,-118299.32697234821,-0.1631118191708083,5.556590742053771e-4,-0.021073510097430907
2018-01-02T23:00:00Z,238580.52901332107,15305.548313968342,115146.40058850942,15305.767708456438,-123434.12842481164,0.2193944880964409,5.797775463414964e-4,0.02834504564858947
2018-01-03T00:00:00Z,234167.91882014234,18424.565048798988,114429.80979418941,18424.30940229915,-119738.10902595293,-0.2556464998378942,5.624171202936374e-4,-0.03302868622944582
2018-01-03T01:00:00Z,238723.70885927445,20933.74259127171,115120.59588764043,20933.978066643493,-123603.11297163402,0.2354753717809217,5.805712769504989e-4,0.030422642884787583
2018-01-03T02:00:00Z,229172.00588716258,22538.930942171715,114731.06870850365,22538.85257237615,-114440.93717865893,-0.07836979556668666,5.375359846193645e-4,-0.010125119605702592
