time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electricity_unitized,incremental_gas_unitized
2018-01-01T15:00:00Z,79367.36066181301,672483.9899809472,283038.0714666925,101782.8802890131,203670.7108048795,-570701.1096919341,0.001425401008312583,6.12544670898156e-4
2018-01-01T16:00:00Z,73047.59451469104,697010.2904211214,283854.30577598943,93673.75406021746,210806.7112612984,-603336.536360904,0.0014753427117892464,6.475729130884613e-4
2018-01-01T17:00:00Z,70905.7113566196,683515.5860917196,281461.225201114,89162.57417734104,210555.51384449442,-594353.0119143785,0.0014735846924364248,6.37930720472833e-4
2018-01-01T18:00:00Z,72154.35578056784,694932.2957278799,286070.6783037955,91220.89076787166,213916.32252322766,-603711.4049600082,0.0014971055023775333,6.479752668928763e-4
2018-01-01T19:00:00Z,76816.28852967502,756982.9814326493,300751.0645113833,95654.4904843194,223934.77598170828,-661328.4909483299,0.001567220216491394,7.098168129762167e-4
2018-01-01T20:00:00Z,94173.12126838771,856133.9793535293,322515.9723641364,110858.81191440689,228342.85109574872,-745275.1674391225,0.0015980703799117512,7.999184238733878e-4
2018-01-01T21:00:00Z,115048.35033234957,939586.0173634348,354435.52922935295,124106.36279973964,239387.17889700338,-815479.6545636952,0.0016753647337333216,8.752702739591684e-4
2018-01-01T22:00:00Z,122532.09772033675,1028975.4221735592,364403.8606608421,138400.80784467654,241871.76294050534,-890574.6143288827,0.0016927532359232015,9.558711640473398e-4
2018-01-01T23:00:00Z,136664.3591548844,1075955.54771621,386797.2963336975,134239.16529752695,250132.9371788131,-941716.3824186829,0.0017505695318579223,0.0010107626246940989
2018-01-02T00:00:00Z,150619.781267238,1083234.0127944723,393395.71004163165,136980.1293857408,242775.92877439366,-946253.8834087315,0.0016990810917362098,0.0010156328133155118
2018-01-02T01:00:00Z,160290.92872051898,1023444.5071895872,386983.60262121866,131275.38678663928,226692.67390069968,-892169.120402948,0.00158652152132319,9.575825786245967e-4
2018-01-02T02:00:00Z,165852.35135363264,962268.2979057332,380010.39126373903,117472.38836693138,214158.0399101064,-844795.9095388019,0.0014987971752038422,9.067359842070189e-4
2018-01-02T03:00:00Z,169569.3506919004,912213.1102675127,370566.8392827038,120970.68963692964,200997.4885908034,-791242.4206305831,0.0014066923111988477,8.492559764032133e-4
2018-01-02T04:00:00Z,168586.74329532502,875272.4771150731,359199.9732856583,122338.13581117445,190613.22999033326,-752934.3413038987,0.001334017489074477,8.081391650891946e-4
2018-01-02T05:00:00Z,161764.0460510092,833790.0921087869,343151.44885716966,115084.35939399562,181387.40280616045,-718705.7327147913,0.0012694500148467468,7.714009295619597e-4
2018-01-02T06:00:00Z,144244.14595282363,765235.5597871317,319657.8850607756,104537.91435572536,175413.739107952,-660697.6454314063,0.0012276429910233555,7.091397141358795e-4
2018-01-02T07:00:00Z,144190.47437412638,707110.8618353165,321374.1294841567,107976.3506416367,177183.65511003035,-599134.5111936799,0.0012400298484365848,6.430627972336797e-4
2018-01-02T08:00:00Z,133018.46464313607,635932.9514153445,307170.89867007465,106292.65586985173,174152.43402693857,-529640.2955454928,0.001218815675956003,5.684732954250661e-4
2018-01-02T09:00:00Z,126242.99572971305,660497.4536206766,308728.24168903776,110128.54700712729,182485.2459593247,-550368.9066135493,0.0012771333323512875,5.907217193885531e-4
2018-01-02T10:00:00Z,117143.35706519516,684003.9152447539,308680.5571687425,110516.05772958489,191537.20010354737,-573487.8575151691,0.001340483946258337,6.155357418795688e-4
2018-01-02T11:00:00Z,110325.86578290042,702953.2540913383,308621.9135476877,107521.54589202472,198296.04776478728,-595431.7081993135,0.001387786124530755,6.390885063078933e-4
2018-01-02T12:00:00Z,102225.15624888333,695886.7699486339,303441.2672991008,107472.46876805577,201216.11105021747,-588414.3011805781,0.0014082223528668768,6.315565860087195e-4
2018-01-02T13:00:00Z,94165.61289154449,676696.4191443593,295293.14620770497,102408.13937852168,201127.5333161605,-574288.2797658376,0.0014076024365768031,6.16394850747221e-4
2018-01-02T14:00:00Z,86940.61930989167,656679.8011483467,285297.51629018236,101627.85266064174,198356.8969802907,-555051.948487705,0.0013882119812128025,5.957481198894306e-4
2018-01-02T15:00:00Z,80010.42970606839,668322.6225626067,285962.6815438098,102203.0363439222,205952.25183774144,-566119.5862186844,0.0014413685024893157,6.076272320839073e-4
2018-01-02T16:00:00Z,72615.75180161704,671517.9744346021,284127.70121137606,92466.04136403542,211511.94940975902,-579051.9330705666,0.0014802783609257552,6.215077730742746e-4
2018-01-02T17:00:00Z,70937.45336358057,671832.5909986516,283722.307649788,83793.63133393148,212784.8542862074,-588038.9596647201,0.0014891868578186334,6.311537246134968e-4
2018-01-02T18:00:00Z,72223.96623295252,677390.0978339526,285630.076989351,84688.54721721873,213406.1107563985,-592701.550616734,0.0014935347564218814,6.361581747393705e-4
2018-01-02T19:00:00Z,76812.72545936845,719255.5949291672,294547.7480335671,86457.10579258084,217735.02257419867,-632798.4891365863,0.00152383089102859,6.791950036372934e-4
2018-01-02T20:00:00Z,93786.05410440596,797133.4498851954,310374.52969910187,99308.09061855805,216588.4755946959,-697825.3592666374,0.0015158067170361563,7.489896160655934e-4
2018-01-02T21:00:00Z,115305.83893597542,885479.2544023979,343160.6661102202,113080.96793423701,227854.82717424477,-772398.2864681609,0.0015946549168486365,8.290301983858682e-4
2018-01-02T22:00:00Z,122257.92087735725,958112.200015294,349855.1766271885,122947.37293585847,227597.25574983127,-835164.8270794356,0.0015928522886424473,8.963987549020855e-4
2018-01-02T23:00:00Z,136601.26034393342,964967.8722816184,361689.0159636135,122083.11543691476,225087.7556196801,-842884.7568447037,0.0015752894098085587,9.046847066150156e-4
2018-01-03T00:00:00Z,150538.80000036428,915986.7577186412,355280.3494212817,113308.99649941892,204741.54942091744,-802677.7612192223,0.0014328953330341322,8.615297512715634e-4
2018-01-03T01:00:00Z,159008.67361647668,858574.7878839986,346727.3921696727,107961.47960978193,187718.71855319603,-750613.3082742167,0.001313760086796246,8.056479549107569e-4
2018-01-03T02:00:00Z,166857.60483392046,831468.8858383454,345839.1471126756,107222.85521553998,178981.54227875514,-724246.0306228055,0.001252612463644265,7.773474397423485e-4
2018-01-03T03:00:00Z,168949.79339181774,773677.3941362684,333584.97700210067,108875.66870541035,164635.18361028293,-664801.7254308581,0.0011522086597254724,7.135447035250905e-4
2018-01-03T04:00:00Z,168686.00789927496,694808.2185216707,316297.2652651008,103371.1315072494,147611.25736582585,-591437.0870144212,0.001033065747431444,6.348010012066969e-4
2018-01-03T05:00:00Z,159371.92501131864,632119.8436847636,296118.0774294147,90331.39839020667,136746.15241809608,-541788.445294557,9.570256949039455e-4,5.815121423165308e-4
2018-01-03T06:00:00Z,144152.42944275882,580598.2193662642,275414.3319924537,82431.45886594825,131261.9025496949,-498166.7605003159,9.186438614956736e-4,5.346921342553319e-4
2018-01-03T07:00:00Z,142001.7263635269,532678.7695957056,275494.9080873066,82113.66009396953,133493.1817237797,-450565.109501736,9.342595952062232e-4,4.8360035057039454e-4
2018-01-03T08:00:00Z,133300.35607781942,494091.1000437238,267650.76419540105,87114.54686761757,134350.40811758162,-406976.55317610624,9.402589426884834e-4,4.368158999429526e-4
2018-01-03T09:00:00Z,123708.8118627724,525591.6291794546,265094.50058455643,95739.88550390805,141385.68872178404,-429851.7436755466,9.89495752573235e-4,4.613682896233863e-4
2018-01-03T10:00:00Z,116938.4488681713,538441.1869172608,263673.391666647,96683.01695908514,146734.94279847568,-441758.1699581756,0.0010269328102851865,4.7414768998727035e-4
2018-01-03T11:00:00Z,107526.63483789045,529969.1432698214,255877.68157514805,90931.3954356634,148351.0467372576,-439037.747834158,0.0010382432052593788,4.712278076769662e-4
2018-01-03T12:00:00Z,99354.95095724623,516443.6574676308,249688.5774208952,88775.50674938952,150333.62646364898,-427668.1507182413,0.0010521184017954468,4.590245965646324e-4
2018-01-03T13:00:00Z,92336.9737452153,502030.8767945326,244974.72186354303,84786.90871195361,152637.74811832773,-417243.96808257897,0.0010682439277332452,4.478361173177797e-4
2018-01-03T14:00:00Z,84366.56723091746,470665.81378828076,231383.27516318928,80578.75251358199,147016.70793227182,-390087.06127469876,0.0010289047595371588,4.1868807772096797e-4
2018-01-03T15:00:00Z,77307.1757820461,470102.53434207384,228145.94852782885,76109.7778835434,150838.77274578274,-393992.75645853044,0.0010556536966694781,4.2288013680475024e-4
2018-01-03T16:00:00Z,69803.62231125878,455709.74097947846,223089.32566688972,61853.974135648925,153285.70335563095,-393855.76684382954,0.0010727786791707176,4.227331031701061e-4
2018-01-03T17:00:00Z,68235.5373464407,460101.9414452757,226474.5442188053,54819.1598758819,158239.0068723646,-405282.78156939376,0.001107444654456651,4.349979417266624e-4
2018-01-03T18:00:00Z,70128.01544392179,490353.30561944534,236645.31943009398,58878.533862015574,166517.3039861722,-431474.77175742976,0.0011653807858056351,4.6311031742987197e-4
2018-01-03T19:00:00Z,74522.25106405886,531005.2795682636,248076.26353253756,59219.39698523903,173554.0124684787,-471785.88258302456,0.0012146275887761932,5.063770216553676e-4
2018-01-03T20:00:00Z,91235.18353680857,595697.2666439987,267404.37577088096,71732.1549156033,176169.19223407237,-523965.1117283954,0.001232930072525892,5.623820095584469e-4
2018-01-03T21:00:00Z,113426.00876478267,700050.205707431,302527.5446781111,89894.041209233,189101.5359133284,-610156.164498198,0.0013234378124331598,6.548925534432198e-4
2018-01-03T22:00:00Z,121184.11429635959,777546.638076072,309925.48297787434,100879.85357673944,188741.36868151475,-676666.7844993325,0.0013209171616564255,7.262797036483758e-4
2018-01-03T23:00:00Z,136014.08115774504,765627.8703170021,315596.20979719795,92421.74178721488,179582.12863945292,-673206.1285297872,0.0012568157013151816,7.225653138636754e-4
2018-01-04T00:00:00Z,150076.29624073202,694464.6916180883,303222.3791798722,84826.0789094257,153146.0829391402,-609638.6127086626,0.001071801537775863,6.543370549778939e-4
2018-01-04T01:00:00Z,158873.5682669753,615225.5425085184,288264.63736556086,77433.5770578728,129391.06909858558,-537791.9654506457,9.055507275980319e-4,5.772226422802311e-4
2018-01-04T02:00:00Z,165860.2316628349,562676.3944101828,280196.80376164976,76087.00791812415,114336.57209881485,-486589.3864920587,8.001909774488326e-4,5.22265912137802e-4
2018-01-04T03:00:00Z,169835.37087061326,514863.3590376534,269932.9333057318,79564.00297234,100097.56243511854,-435299.35606531345,7.005384616217061e-4,4.672153186229825e-4
2018-01-04T04:00:00Z,167621.9674001383,476734.83917329775,257178.61889372554,84055.74596203736,89556.65149358724,-392679.0932112604,6.267672992134495e-4,4.2147015633019956e-4
2018-01-04T05:00:00Z,160480.69381112454,430149.71199833555,243102.60660771927,71808.87327186762,82621.91279659473,-358340.8387264679,5.782341375623997e-4,3.846142357171165e-4
2018-01-04T06:00:00Z,142711.71539403812,398254.11562405404,225637.72008231323,63825.250500083006,82926.0046882751,-334428.865123971,5.803623418943232e-4,3.589490464400649e-4
2018-01-04T07:00:00Z,141192.7257336297,370064.10323814,232921.6660264867,63557.52807532091,91728.940292857,-306506.5751628191,6.419701854438199e-4,3.2897950612462856e-4
2018-01-04T08:00:00Z,131351.30673683423,352818.6940597695,234471.74751297833,62365.35184174817,103120.4407761441,-290453.34221802134,7.216942469492883e-4,3.117492570081854e-4
2018-01-04T09:00:00Z,123418.66601776176,399883.09297268157,241633.29272906383,68076.89115624574,118214.62671130207,-331806.20181643585,8.273317623613293e-4,3.5613409058084467e-4
2018-01-04T10:00:00Z,114767.90585159753,414923.9867461569,240564.03430510673,66615.25894421575,125796.1284535092,-348308.7278019411,8.803913318259768e-4,3.738465747115242e-4
2018-01-04T11:00:00Z,106995.81281478379,417929.59932358534,237029.40076100515,63345.20778670948,130033.58794622136,-354584.39153687586,9.100474321544239e-4,3.8058236742666046e-4
2018-01-04T12:00:00Z,98637.66345538764,415205.4032092912,232568.67446367658,65255.00035814027,133931.01100828894,-349950.40285115095,9.373237682586073e-4,3.7560861667300345e-4
2018-01-04T13:00:00Z,90524.80446785732,400929.45207407605,226509.34261715563,62631.195421840166,135984.5381492983,-338298.25665223587,9.516954942953286e-4,3.631021400997855e-4
2018-01-04T14:00:00Z,83501.81449587237,370390.1415737331,211504.46124279292,59401.80802081902,128002.64674692055,-310988.3335529141,8.958337751103322e-4,3.3378986512250697e-4
2018-01-04T15:00:00Z,75836.31391310412,354889.00063592126,200378.52894071778,55406.34438788705,124542.21502761365,-299482.6562480342,8.716157476757329e-4,3.214405964799728e-4
2018-01-04T16:00:00Z,68463.32285902162,334326.1132526499,190706.47494498402,39999.93042855032,122243.1520859624,-294326.18282409955,8.555256254276532e-4,3.159060526306291e-4
2018-01-04T17:00:00Z,66605.32318187096,331139.49268795975,186167.62934567773,37971.6841377662,119562.30616380677,-293167.80855019356,8.367635733610105e-4,3.1466274685053406e-4
2018-01-04T18:00:00Z,68373.18793634206,342250.1040409368,187023.49560146252,40043.415785111065,118650.30766512046,-302206.6882558257,8.303809001996621e-4,3.243643533491848e-4
2018-01-04T19:00:00Z,72741.88989942611,383823.59188213246,196120.86857423314,42765.999237409174,123378.97867480703,-341057.5926447233,8.634747721587138e-4,3.660637894267477e-4
2018-01-04T20:00:00Z,89686.32204470919,444829.31302927004,212320.47026658038,57422.202661315285,122634.14822187119,-387407.11036795477,8.582620340362757e-4,4.158116339602736e-4
2018-01-04T21:00:00Z,111729.29824466871,538439.6219395655,240384.32948688228,76532.29899390237,128655.03124221358,-461907.3229456631,9.00399524960781e-4,4.957741702516236e-4
