time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electricity_unitized,incremental_gas_unitized
2012-01-01T15:00:00Z,175109.96912042133,220921.14028348064,208796.18545315444,117412.7408047849,33686.21633273311,-103508.39947869573,8.628267929557638e-5,8.885466126141711e-5
2012-01-01T16:00:00Z,170926.77308786908,284286.7004616661,219311.11049078996,141053.30680847587,48384.33740292088,-143233.39365319023,1.2392992510140035e-4,1.2295576724666592e-4
2012-01-01T17:00:00Z,167613.8632409646,305243.55441967724,220660.45194816648,147612.75909377617,53046.58870720188,-157630.79532590107,1.3587165017106247e-4,1.3531492123915504e-4
2012-01-01T18:00:00Z,169812.7638593796,333795.0263345309,226046.577077921,164244.20441228704,56233.813218541414,-169550.82192224386,1.4403529394864183e-4,1.455474234397433e-4
2012-01-01T19:00:00Z,180929.90497461584,380638.4057516092,241162.59810633885,198081.60254295103,60232.693131723005,-182556.80320865815,1.5427788307419163e-4,1.5671214115730908e-4
2012-01-01T20:00:00Z,195065.6919807257,446833.8324021752,271622.9285174205,216310.36376616487,76557.23653669478,-230523.4686360103,1.9609098934131558e-4,1.978881406882875e-4
2012-01-01T21:00:00Z,213544.26829632823,520994.8252441124,302135.345471216,254475.52034525608,88591.07717488779,-266519.3048988563,2.2691404177983915e-4,2.2878802759664335e-4
2012-01-01T22:00:00Z,189957.30519684585,569100.0433691819,285087.67236178275,284884.292500479,95130.3671649369,-284215.75086870295,2.436635471401048e-4,2.4397917846073655e-4
2012-01-01T23:00:00Z,187163.42035570863,564475.0453637897,277470.00003535266,294056.7147388137,90306.57967964403,-270418.33062497596,2.3130806902785662e-4,2.3213506621272415e-4
2012-01-02T00:00:00Z,195427.8900137326,511936.4855050948,278251.45104804274,253048.82768631552,82823.56103431014,-258887.6578187793,2.1214133057433744e-4,2.2223679678269866e-4
2012-01-02T01:00:00Z,214655.97585642303,465750.1005259458,285907.0056377437,231412.2183034112,71251.02978132066,-234337.88222253456,1.8249985962737718e-4,2.0116254574960158e-4
2012-01-02T02:00:00Z,226220.80133332798,429809.33123309887,290065.6277719141,213490.2323210469,63844.82643858614,-216319.09891205197,1.635298731644558e-4,1.856946910106696e-4
2012-01-02T03:00:00Z,232788.9711652065,404774.0045432872,295315.4675229244,189764.834557243,62526.49635771793,-215009.1699860442,1.601531492709287e-4,1.84570209407407e-4
2012-01-02T04:00:00Z,239614.8398524253,355477.4196319842,295149.9139443564,163146.79328414926,55535.07409193108,-192330.62634783494,1.4224556834167281e-4,1.6510227904596708e-4
