time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electricity_unitized,incremental_gas_unitized
2012-01-01T15:00:00Z,175109.9691204213,220921.14028348058,208864.08688183787,117412.72457683901,33754.117761416564,-103508.41570664156,8.706536761045867e-5,8.912439312103659e-5
2012-01-01T16:00:00Z,170926.7730878691,284286.70046166604,219296.38818557624,141070.99919037626,48369.61509770714,-143215.70127128978,1.2476457981882465e-4,1.233137651085541e-4
2012-01-01T17:00:00Z,167613.86324096462,305243.5544196773,220570.68997370533,147684.2497411282,52956.82673274071,-157559.3046785491,1.3659683300150746e-4,1.3566411304996107e-4
2012-01-01T18:00:00Z,169812.76385937957,333795.0263345311,226005.43537520163,164301.45547638024,56192.67151582206,-169493.57085815084,1.4494337067613158e-4,1.4593993674352835e-4
2012-01-01T19:00:00Z,180929.90497461573,380638.4057516093,240707.9164524924,198587.23913802093,59778.01147787669,-182051.16661358837,1.5419139617664027e-4,1.567524691653811e-4
2012-01-01T20:00:00Z,195065.6919807258,446833.8324021753,270993.74227780034,217061.46190208697,75928.05029707454,-229772.37050008832,1.9584880451583631e-4,1.9784210720450975e-4
2012-01-01T21:00:00Z,213544.26829632832,520994.8252441122,301823.5597291504,254775.03058736218,88279.29143282206,-266219.79465675,2.2770759453162806e-4,2.2922462365605902e-4
2012-01-01T22:00:00Z,189957.30519684596,569100.0433691822,284841.7790364155,285352.2559802833,94884.47383956955,-283747.78738889884,2.447450012990763e-4,2.4431684301057157e-4
2012-01-01T23:00:00Z,187163.42035570863,564475.0453637897,276699.0800186421,294939.91374317126,89535.6596629335,-269535.1316206184,2.3094827060504597e-4,2.320792456003649e-4
2012-01-02T00:00:00Z,195427.89001373257,511936.4855050947,276973.3894117242,254656.04237834562,81545.4993979916,-257280.44312674907,2.103384521037654e-4,2.215275270038897e-4
2012-01-02T01:00:00Z,214655.97585642297,465750.1005259458,285298.6529618676,232179.70279777597,70642.67710544466,-233570.3977281698,1.8221571349149524e-4,2.01112342474261e-4
2012-01-02T02:00:00Z,226220.80133332795,429809.33123309887,289409.56296073017,214317.64355127313,63188.761627402215,-215491.68768182574,1.6298908473407348e-4,1.855459361072837e-4
2012-01-02T03:00:00Z,232788.97116520652,404774.00454328733,294849.23844754923,190392.33353340585,62060.26728234271,-214381.67100988148,1.6007824654557727e-4,1.8459017264045943e-4
2012-01-02T04:00:00Z,239614.83985242527,355477.4196319841,295100.4605436494,163146.5448665877,55485.62069122412,-192330.87476539638,1.4311960385757574e-4,1.656036600974096e-4
2012-01-02T05:00:00Z,241234.99257049029,351745.750239191,295048.1266879339,164167.2678158835,53813.13411744364,-187578.4824233075,1.388055921746455e-4,1.6151168283671854e-4
2012-01-02T06:00:00Z,235621.93159065806,369778.3164898367,293425.2715136058,169918.27882527426,57803.33992294772,-199860.03766456246,1.4909792858684804e-4,1.72086534649363e-4
2012-01-02T07:00:00Z,262930.9720929246,401344.28001925116,325856.74389421364,188111.7794318539,62925.771801289055,-213232.50058739726,1.6231072880576282e-4,1.8360069641480816e-4
2012-01-02T08:00:00Z,262639.01326533704,417842.0314910537,327675.459697029,198425.82209629004,65036.44643169193,-219416.20939476366,1.677550027133497e-4,1.8892508758562554e-4
2012-01-02T09:00:00Z,246777.92521924205,397309.8510898992,308317.20349049976,191617.7992861083,61539.2782712577,-205692.0518037909,1.587344075481624e-4,1.7710810431868497e-4
