time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electricity_unitized,incremental_gas_unitized
2012-01-01T15:00:00Z,68200.42010115282,83644.2804386456,80744.92368826385,25399.890888957707,12544.50358711103,-58244.38954968789,2.5032480500304096e-4,8.974926546361781e-5
2012-01-01T16:00:00Z,61376.631592563965,106502.00761037653,87955.71749252631,11582.061082453954,26579.085899962345,-94919.94652792258,5.303840402184789e-4,1.462629369899986e-4
2012-01-01T17:00:00Z,59271.00005760634,113964.01510591464,87446.48252715812,6290.52939932028,28175.482469551782,-107673.48570659437,5.622400365291332e-4,1.6591497184171244e-4
2012-01-01T18:00:00Z,59867.36814302357,128006.74358245402,88776.65449413707,11263.565521907662,28909.2863511135,-116743.17806054636,5.768830482901681e-4,1.798905364075281e-4
2012-01-01T19:00:00Z,65646.57343949011,152311.43856218207,98239.78078563766,27613.7547106158,32593.207346147552,-124697.68385156627,6.503954673607806e-4,1.9214770070077043e-4
2012-01-01T20:00:00Z,72231.31197161315,168641.9019420566,108958.45929288889,31628.854941982943,36727.14732127574,-137013.04700007365,7.328879877688009e-4,2.1112454645435717e-4
2012-01-01T21:00:00Z,77555.50666647065,202600.69791677626,119444.21641366449,38681.89482061616,41888.70974719383,-163918.80309616012,8.358866515905017e-4,2.5258385034674307e-4
2012-01-01T22:00:00Z,66097.34815221136,228895.6475068434,114001.19794657137,48140.88748991168,47903.84979436001,-180754.76001693174,9.559184048533364e-4,2.785265167339894e-4
2012-01-01T23:00:00Z,67357.07806704091,233740.69787295477,116626.59293899256,48310.28360374278,49269.514871951644,-185430.414269212,9.831701682948835e-4,2.8573127135410613e-4
2012-01-02T00:00:00Z,75980.8587086609,202084.38072706023,104749.11667389084,52406.641895210305,28768.257965229932,-149677.7388318499,5.740688354398111e-4,2.3063967568848423e-4
2012-01-02T01:00:00Z,90050.644489592,186951.6741373817,106251.70268319626,61973.523155487186,16201.058193604258,-124978.1509818945,3.232911294571907e-4,1.9257987484025857e-4
2012-01-02T02:00:00Z,99893.93339946444,173411.97909149952,109110.12730887413,67539.12336965857,9216.193909409689,-105872.85572184096,1.8390858810974283e-4,1.6314036608564182e-4
2012-01-02T03:00:00Z,106333.31076197892,153595.85604239587,110534.39552888373,66257.73959633756,4201.084766904809,-87338.11644605831,8.3832390638176e-5,1.3458003180413891e-4
2012-01-02T04:00:00Z,113162.97882394896,129338.20756072036,112547.54643061735,63478.5497437018,-615.4323933316045,-65859.65781701857,-1.2280915923335305e-5,1.0148369582825006e-4
2012-01-02T05:00:00Z,115064.662231317,130862.55819891725,113332.29966500006,70217.11532743523,-1732.3625663169369,-60645.442871482024,-3.456918949374897e-5,9.344906854570125e-5
2012-01-02T06:00:00Z,113628.91103313268,134809.9753382547,114213.03520892172,67649.02718562365,584.1241757890384,-67160.94815263106,1.1656162349237078e-5,1.0348886495576735e-4
2012-01-02T07:00:00Z,126018.6553611616,151659.42935474135,132040.47213622546,69444.32032686827,6021.816775063868,-82215.10902787308,1.2016498696135784e-4,1.2668594696091897e-4
2012-01-02T08:00:00Z,122347.44572693639,160523.16087467823,132785.9306139437,61269.57824641481,10438.484887007304,-99253.58262826342,2.082993301187348e-4,1.5294067298825135e-4
2012-01-02T09:00:00Z,112327.42676806572,153825.08048293673,123344.36155759954,51900.84566732118,11016.934789533814,-101924.23481561555,2.198422626906345e-4,1.5705590321002543e-4
2012-01-02T10:00:00Z,101689.1053522585,131973.11469655824,111485.03633038554,46758.3145067561,9795.930978127042,-85214.80018980215,1.9547720600458036e-4,1.3130819608194667e-4
2012-01-02T11:00:00Z,91720.24619868271,110593.46285356181,100885.71335063946,41093.27440475242,9165.46715195675,-69500.1884488094,1.8289633875450407e-4,1.0709341983131977e-4
2012-01-02T12:00:00Z,85953.87032107945,101308.90323808457,93654.56200918427,39619.43539210099,7700.691688104824,-61689.467845983585,1.5366683359188365e-4,9.505781533335969e-5
2012-01-02T13:00:00Z,78478.50533205368,88426.88860351281,84482.87353642624,34536.232446236725,6004.368204372557,-53890.656157276084,1.1981680179599411e-4,8.304056138045385e-5
2012-01-02T14:00:00Z,73554.32893851615,65020.80891341035,77334.75150380113,29307.58857891302,3780.4225652849855,-35713.22033449733,7.543810202712041e-5,5.5030798968664794e-5
2012-01-02T15:00:00Z,72483.87198184288,59661.684083200395,76543.31240039534,26667.832640542234,4059.440418552462,-32993.85144265816,8.100588629427236e-5,5.084050077077621e-5
2012-01-02T16:00:00Z,64342.061300351255,45560.69612600541,68644.63005888314,11390.955226813046,4302.568758531881,-34169.74089919236,8.585749750976864e-5,5.2652438638205067e-5
2012-01-02T17:00:00Z,62862.54619065832,46325.17043260696,68416.37130719228,7895.953384003902,5553.825116533961,-38429.21704860306,1.1082624192046874e-4,5.921590094976874e-5
2012-01-02T18:00:00Z,65043.00835644231,56425.62866875954,72687.80665784953,8000.355860944483,7644.798301407223,-48425.27280781506,1.5255148446476378e-4,7.461890661020752e-5
