time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electricity_unitized,incremental_gas_unitized
2012-01-01T15:00:00Z,175109.96912042127,220921.14028348058,186669.12036496383,163812.86033801018,11559.151244542561,-57108.27994547039,7.586272700648245e-4,9.433722810703275e-5
2012-01-01T16:00:00Z,170926.7730878691,284286.7004616662,194715.98450606293,192853.61958232376,23789.211418193823,-91433.08087934245,0.0015612863032396047,1.5103840311211206e-4
2012-01-01T17:00:00Z,167613.86324096468,305243.5544196771,193823.46423069295,200610.8003132742,26209.600989728264,-104632.75410640292,0.0017201365072295781,1.7284295729144456e-4
2012-01-01T18:00:00Z,169812.76385937966,333795.026334531,197060.65411247208,219415.65536397853,27247.890253092424,-114379.3709705525,0.00178827944720326,1.889434040088572e-4
2012-01-01T19:00:00Z,180929.90497461575,380638.40575160924,209926.7537503592,260813.65783684037,28996.84877574345,-119824.74791476887,0.0019030636213546088,1.9793862794846497e-4
2012-01-01T20:00:00Z,195065.69198072588,446833.83240217506,227083.05907361157,316090.5947984427,32017.367092885688,-130743.23760373238,0.0021013002839466205,2.1597489262594336e-4
2012-01-01T21:00:00Z,213544.26829632832,520994.8252441123,248702.78227171287,364992.96050189406,35158.51397538456,-156001.86474221823,0.0023074538010976154,2.576996455393398e-4
2012-01-01T22:00:00Z,189957.3051968458,569100.0433691822,229185.84263707788,399755.7884879141,39228.53744023209,-169344.25488126808,0.0025745695023213387,2.797399539366934e-4
2012-01-01T23:00:00Z,187163.4203557087,564475.0453637894,225819.33131572572,392483.2014357722,38655.910960017034,-171991.84392801725,0.002536988017810746,2.84113509086233e-4
2012-01-02T00:00:00Z,195427.89001373263,511936.4855050947,218990.28228742984,368850.3978691354,23562.392273697216,-143086.08763595927,0.0015464001593742287,2.3636405966254292e-4
2012-01-02T01:00:00Z,214655.97585642303,465750.1005259458,226810.84572001942,345941.1614112717,12154.869863596396,-119808.93911467405,7.977242919947838e-4,1.979125133748503e-4
2012-01-02T02:00:00Z,226220.80133332804,429809.33123309875,233082.03243233176,326890.74266888306,6861.231099003722,-102918.5885642157,4.503027002418165e-4,1.7001132541738113e-4
2012-01-02T03:00:00Z,232788.97116520646,404774.00454328716,236196.26844568882,318406.4000129534,3407.2972804823657,-86367.60453033377,2.2362097177437966e-4,1.426707373679591e-4
2012-01-02T04:00:00Z,239614.8398524254,355477.41963198426,238926.33521898446,289680.0430853283,-688.5046334409271,-65797.37654665596,-4.518656944997377e-5,1.0869075598237372e-4
2012-01-02T05:00:00Z,241234.9925704903,351745.7502391912,239434.66591947546,291204.3015347925,-1800.3266510148533,-60541.4487043987,-1.1815546518860303e-4,1.0000848321487718e-4
2012-01-02T06:00:00Z,235621.93159065803,369778.31648983655,236154.54786103882,302687.89333757746,532.6162703807931,-67090.42315225909,3.4955613837292567e-5,1.1082674103922155e-4
2012-01-02T07:00:00Z,262930.9720929247,401344.28001925116,268867.636310094,319188.6524454403,5936.66421716928,-82155.62757381087,3.8962336187866773e-4,1.3571296817392153e-4
2012-01-02T08:00:00Z,262639.0132653371,417842.0314910536,273006.7644055226,318675.38812821393,10367.751140185515,-99166.64336283965,6.804356632935177e-4,1.6381348316674314e-4
2012-01-02T09:00:00Z,246777.9252192421,397309.8510898992,257725.51222512993,295467.47201561835,10947.58700588782,-101842.37907428085,7.184902998820903e-4,1.6823353382148856e-4
2012-01-02T10:00:00Z,229440.13975505508,340705.5738221911,239170.19234512467,255551.00902195842,9730.052590069594,-85154.56480023268,6.385834978564452e-4,1.4066691575346276e-4
2012-01-02T11:00:00Z,213384.86497745014,289326.9328392623,222508.43724279577,219877.76820598866,9123.572265345632,-69449.16463327364,5.98780185021466e-4,1.1472314858909802e-4
2012-01-02T12:00:00Z,202224.20559157885,266536.3445264214,209882.01078098334,204907.2494720816,7657.805189404491,-61629.09505433979,5.025818697777646e-4,1.0180516737192317e-4
2012-01-02T13:00:00Z,186954.95834905465,228124.6947402102,192879.20251684706,174333.14138420165,5924.244167792407,-53791.553356008546,3.888082338512275e-4,8.885832394221662e-5
2012-01-02T14:00:00Z,176831.13637432904,176483.69962944358,180561.9607217267,140829.46828575287,3730.8243473976618,-35654.23134369071,2.4485405804288134e-4,5.889726250663323e-5
2012-01-02T15:00:00Z,190408.33423588358,162756.4053985459,194411.00711674883,129855.36455125391,4002.672880865255,-32901.040847291995,2.6269548138380485e-4,5.434926421060888e-5
2012-01-02T16:00:00Z,174731.21229361175,143072.69898216886,178950.46372775867,109025.84423066243,4219.251434146921,-34046.85475150643,2.7690953509369395e-4,5.6242035412145656e-5
2012-01-02T17:00:00Z,171931.57188423886,149884.40679574123,177375.64176689263,111571.14660341528,5444.06988265377,-38313.26019232595,3.572943882942678e-4,6.32897150770206e-5
2012-01-02T18:00:00Z,178763.2832506115,181074.4374369096,186300.4704646885,132749.51808315323,7537.187214076985,-48324.919353756355,4.946657102425518e-4,7.982798544593294e-5
2012-01-02T19:00:00Z,192342.3805671014,255416.59643132158,204424.70104595445,183335.1161611665,12082.320478853042,-72081.4802701551,7.929628747827096e-4,1.190714735767059e-4
2012-01-02T20:00:00Z,226135.5910483607,331133.11148527643,241335.85675294447,238213.59149689952,15200.265704583784,-92919.51998837691,9.975936668509876e-4,1.5349385345013824e-4
2012-01-02T21:00:00Z,295092.2814423846,548155.3440119852,316436.70670328126,414228.3340038853,21344.425260896678,-133927.01000809995,0.0014008349509590245,2.2123416963163302e-4
2012-01-02T22:00:00Z,318120.163739844,723627.4418442008,343295.34644203086,536948.9940263962,25175.182702186867,-186678.44781780464,0.0016522476194573762,3.083743256016566e-4
2012-01-02T23:00:00Z,353266.93545436696,812956.5551112151,380070.14892085514,591176.8433802727,26803.213466488174,-221779.71173094236,0.0017590953030091044,3.663581406242885e-4
2012-01-03T00:00:00Z,383430.26989221433,799522.2290524655,402693.74914279557,571535.8813479744,19263.479250581237,-227986.3477044911,0.001264262432998138,3.766108891604563e-4
2012-01-03T01:00:00Z,403585.29749783356,765766.1181694346,416549.71217672096,550162.0584373865,12964.414678887406,-215604.05973204807,8.508547304003984e-4,3.5615657454865756e-4
2012-01-03T02:00:00Z,414505.3440745147,770980.2938648997,428068.4301823183,554252.2781630794,13563.086107803625,-216728.01570182026,8.901455452860454e-4,3.5801323860514645e-4
2012-01-03T03:00:00Z,412850.38728553365,733255.9976742109,421662.45138667873,537159.1093797343,8812.064101145079,-196096.88829447667,5.783358995189344e-4,3.239326573971285e-4
2012-01-03T04:00:00Z,403388.60130871827,720300.9141100795,410981.0133326121,536033.104826582,7592.4120238938485,-184267.8092834975,4.98290115341585e-4,3.043921892544986e-4
2012-01-03T05:00:00Z,380239.19606480235,679600.7484461856,388851.47440236644,508048.5247614381,8612.278337564087,-171552.22368474753,5.652239568497162e-4,2.833872999409145e-4
2012-01-03T06:00:00Z,347901.36947673885,669927.4873702631,361066.47449854383,500813.75529323303,13165.105021804979,-169113.73207703006,8.640260406250841e-4,2.7935915307229965e-4
2012-01-03T07:00:00Z,341339.7536992894,579043.1056348993,356020.1627616115,436449.93507997214,14680.409062322113,-142593.1705549272,0.00096347546759909745,2.3554980941449524e-4
2012-01-03T08:00:00Z,314237.85004841,519205.68738500547,326891.9614397245,404618.3254246636,12654.11139131448,-114587.36196034186,8.304895209690631e-4,1.8928698454510697e-4
2012-01-03T09:00:00Z,294760.14868171123,498331.3843254793,312662.60901812534,372384.8418244407,17902.460336414108,-125946.54250103858,0.0011749387411874024,2.0805122690715816e-4
2012-01-03T10:00:00Z,279604.93091783405,481416.4427302463,301444.7098785176,353239.9149067362,21839.778960683558,-128176.52782351011,0.0014333450217276938,2.1173494202241297e-4
2012-01-03T11:00:00Z,259909.1464990832,465940.5205389176,284459.7417729985,334301.77600348066,24550.59527391527,-131638.74453543697,0.0016112559371441787,2.1745418147457108e-4
2012-01-03T12:00:00Z,242626.82387914794,432641.2461074544,270788.91710056487,305738.36878177023,28162.09322141693,-126902.87732568418,0.001848278601766846,2.096309974165385e-4
2012-01-03T13:00:00Z,226719.15863376178,401430.33548872446,256448.25683516398,279417.23573198373,29729.0982014022,-122013.09975674073,0.0019511211621758959,2.0155356867320167e-4
