time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electricity_unitized,incremental_gas_unitized
2018-01-01T15:00:00Z,519333.69414704095,15311.324803419262,523006.75775578234,15311.337125853142,3673.0636087413877,0.01232243388039933,-3.046005319560218e-4,5.5833056126479047e-5
2018-01-01T16:00:00Z,531459.6586964882,11590.755112032126,534460.4228712446,11590.755116417176,3000.764174756361,4.385050488053821e-6,-2.4884795398862243e-4,1.9868702270449443e-8
2018-01-01T17:00:00Z,529824.5621681814,9865.965384275994,533071.7464531317,9866.127501326335,3247.1842849502573,0.1621170503403846,-2.692831287215322e-4,7.345537787881067e-4
2018-01-01T18:00:00Z,530397.6371676485,10095.152804911922,533669.7788112,10094.990890079232,3272.1416435515275,-0.1619148326899449,-2.713527974003082e-4,-7.336375288381091e-4
2018-01-01T19:00:00Z,556857.6289664529,10732.258934047755,559643.1443705353,10732.258908321184,2785.515404082369,-2.5726571038831025e-5,-2.3099776215035908e-4,-1.1656731930513341e-7
2018-01-01T20:00:00Z,608047.8599483635,14804.136624702918,610552.1359459464,14804.208968105493,2504.2759975829395,0.07234340257491567,-2.076750860543477e-4,3.277885923795145e-4
2018-01-01T21:00:00Z,639592.8010532242,21515.275916643168,641516.0989538833,21514.864390562725,1923.2979006590322,-0.41152608044285444,-1.5949562165393165e-4,-0.0018646282844677125
2018-01-01T22:00:00Z,667368.2739687209,28425.50046371887,669762.205457971,28426.133798429146,2393.9314892500406,0.6333347102772677,-1.9852441524738503e-4,0.002869645134148782
2018-01-01T23:00:00Z,683737.5011261988,37023.77580573044,686790.1807456883,37023.078661203595,3052.6796194894705,-0.6971445268427487,-2.5315320806720815e-4,-0.0031587679733784436
2018-01-02T00:00:00Z,685461.5317580372,41064.83514832538,620159.1764159258,41065.08215351131,-65302.35534211132,0.2470051859272644,0.005415406400218635,0.0011191826666114293
2018-01-02T01:00:00Z,665670.1040369988,43969.14661832324,615945.0579390861,43971.10687238751,-49725.04609791271,1.960254064266337,0.004123608275368784,0.008881928379947146
2018-01-02T02:00:00Z,622054.6896789368,46471.85106411268,577664.4793791596,46472.3689474728,-44390.210299777216,0.5178833601239603,0.003681199976709639,0.0023465340527218633
2018-01-02T03:00:00Z,594465.2491078408,47486.779717329526,553086.5537065716,47487.96181892879,-41378.695401269244,1.1821015992609318,0.0034314604846148265,0.0053561127273500445
2018-01-02T04:00:00Z,581835.203313047,45261.29121843119,605506.5460088308,45260.95404957162,23671.342695783824,-0.33716885957255727,-0.0019630217021261243,-0.0015277150637066723
2018-01-02T05:00:00Z,559696.4848617048,44479.5083265881,571662.7402816946,44479.61670824767,11966.255419989815,0.10838165957102319,-9.92339952342807e-4,4.91078251313269e-4
2018-01-02T06:00:00Z,540724.4837087226,44203.0463432272,549776.6578491995,44203.23147122553,9052.174140476855,0.18512799833115423,-7.506804543176997e-4,8.388165862141423e-4
2018-01-02T07:00:00Z,536394.3419666674,40567.13541867019,543534.2961290688,40566.18309914017,7139.95416240138,-0.952319530013483,-5.921035047782092e-4,-0.004314968153666558
2018-01-02T08:00:00Z,531319.9372850201,40085.11132921112,537862.3322662953,40086.47717348325,6542.394981275196,1.3658442721280153,-5.425490010083683e-4,0.006188652391720691
2018-01-02T09:00:00Z,535974.5945981486,37049.53997947757,541614.9738088847,37049.466679402394,5640.379210736137,-0.07330007517884951,-4.6774646209098056e-4,-3.3212328434934244e-4
2018-01-02T10:00:00Z,539993.8724217803,32580.939042531852,544797.2412657749,32579.291382139836,4803.368843994685,-1.6476603920164052,-3.98334703918485e-4,-0.007465563705816143
2018-01-02T11:00:00Z,546868.5493483895,28967.1611525533,551986.1428921781,28967.84878302062,5117.593543788651,0.6876304673205595,-4.2439279081988776e-4,0.0031156596861318794
2018-01-02T12:00:00Z,537540.7726948173,25572.815838628343,541833.1153327448,25574.538257094082,4292.342637927504,1.7224184657388832,-3.5595622350200536e-4,0.007804293194370664
2018-01-02T13:00:00Z,528302.9245215679,21421.278151454007,533122.0762212608,21419.28262476717,4819.151699692942,-1.995526686838275,-3.996435476395774e-4,-0.009041748942581264
2018-01-02T14:00:00Z,508959.4883016942,18234.639017989,513002.7396185388,18235.802880458403,4043.251316844602,1.1638624694023747,-3.3529953007396015e-4,0.005273471069786696
2018-01-02T15:00:00Z,512209.8780806848,16159.465006954051,515913.9051863237,16159.390264406551,3704.0271056388738,-0.07474254750013642,-3.0716827883733015e-4,-3.3865913910474205e-4
2018-01-02T16:00:00Z,510835.78612738196,11505.538954606653,513901.04618910956,11504.530442291738,3065.260061727604,-1.0085123149146966,-2.5419648142323113e-4,-0.004569578155533409
2018-01-02T17:00:00Z,510629.4925215913,10128.560863397559,513880.14468938776,10129.56980376249,3250.6521677964483,1.0089403649308224,-2.6957071398338203e-4,0.004571517653915568
