time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electricity_unitized,incremental_gas_unitized
2018-01-01T15:00:00Z,289768.6836335998,1512075.5502728883,289910.00332165405,1513661.7138042147,141.31968805426732,1586.163531326456,-1.0503778934687707e-5,-0.0011172930781051752
2018-01-01T16:00:00Z,281940.545456277,1559506.0057298858,282031.8942438236,1560364.9043789797,91.3487875466235,858.8986490939278,-6.789623466852205e-6,-6.050079304395651e-4
2018-01-01T17:00:00Z,276866.55913131114,1534124.5562254256,276966.3566397232,1535431.5925751405,99.79750841204077,1307.0363497149665,-7.417586190751997e-6,-9.206759817174406e-4
2018-01-01T18:00:00Z,282058.9835026188,1570678.2839674721,282124.58525009354,1570733.2869740133,65.60174747474957,55.00300654117018,-4.8759395289591416e-06,-3.8744100005899626e-5
2018-01-01T19:00:00Z,297755.1028375268,1708511.2024003589,297852.7643186236,1709693.0638300907,97.66148109675851,1181.8614297318272,-7.258823041561038e-6,-8.325028085941291e-4
2018-01-01T20:00:00Z,338030.17721939855,1950957.5152743969,338117.97783047165,1953432.186539768,87.80061107309302,2474.671265371144,-6.525900401705668e-6,-0.0017431576384010874
2018-01-01T21:00:00Z,389522.46274947596,2167873.2517954493,389649.6531282241,2168853.3598288074,127.19037874811329,980.1080333581194,-9.453598712136713e-6,-6.903877814858939e-4
2018-01-01T22:00:00Z,404337.56874183955,2369669.3664247436,404594.81590386503,2372347.3458581497,257.24716202548007,2677.9794334061444,-1.9120246857987888e-5,-0.001886367846164336
2018-01-01T23:00:00Z,429027.1044554588,2472765.06237687,429232.78696257866,2474916.1473153816,205.68250711984,2151.084938511718,-1.5287633416580364e-5,-0.0015152235344898907
2018-01-02T00:00:00Z,455169.5916187441,2466592.26630361,451713.13064318587,2469436.9842251437,-3456.460975558206,2844.717921533622,2.569061854261722e-4,-0.0020038183832364873
2018-01-02T01:00:00Z,469354.15637405124,2336009.6581917056,467259.8083487326,2338569.013381497,-2094.3480253186426,2559.355189791415,1.556652790076866e-4,-0.0018028089673548086
2018-01-02T02:00:00Z,471348.47346778424,2204350.2156188767,469522.262537597,2207449.272270812,-1826.2109301872551,3099.056651935447,1.357356229899922e-4,-0.0021829745026149066
2018-01-02T03:00:00Z,467867.65523851814,2107313.499984831,466139.50524047395,2110109.066214304,-1728.1499980441877,2795.566229472868,1.2844711020354547e-4,-0.0019691959472568177
2018-01-02T04:00:00Z,458141.33785653615,2047176.7714336822,459604.4419408563,2049143.3313164902,1463.1040843201336,1966.559882808011,-1.0874721046819709e-4,-0.0013852441449736584
2018-01-02T05:00:00Z,437691.9283888182,1951825.4371156737,438133.5957592816,1953613.6875021374,441.6673704633722,1788.250386463711,-3.2827530869093194e-5,-0.0012596429934585295
2018-01-02T06:00:00Z,404278.4549986525,1836911.482065095,404537.6951900111,1838505.5932998667,259.24019135860726,1594.1112347715534,-1.9268381486741647e-5,-0.0011228914378396309
2018-01-02T07:00:00Z,399566.65219844936,1709323.1397917485,399792.97873970115,1710890.6421691875,226.32654125179397,1567.5023774390575,-1.6822029464489302e-5,-0.0011041481673465666
2018-01-02T08:00:00Z,380895.32799452456,1614742.1551346593,381130.40566763224,1616499.621333468,235.07767310767667,1757.4661988087464,-1.7472469298514395e-5,-0.001237958621637662
2018-01-02T09:00:00Z,363086.0048171582,1611071.7608756064,363286.994840553,1611769.78651001,200.99002339475555,698.0256344035733,-1.4938858151211961e-5,-4.91689030958165e-4
2018-01-02T10:00:00Z,350414.7505302422,1626288.6887877027,350667.83119275665,1627037.1593318135,253.08066251443233,748.4705441107508,-1.8810566088110132e-5,-5.272224090294264e-4
2018-01-02T11:00:00Z,337024.5362554896,1622396.9529542264,337237.72112299694,1623700.5706876882,213.18486750731245,1303.6177334617823,-1.584525660471044e-5,-9.182679095351314e-4
2018-01-02T12:00:00Z,321935.95058748504,1560125.6957641728,322129.21794410475,1561073.1180765668,193.26735661970451,947.4223123940174,-1.436486038976598e-5,-6.673639702175006e-4
