time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electric_unitized
2018-01-01T15:00:00Z,1769230.4239697494,14944.850242109762,1523351.6280566533,14938.417261029372,-245878.79591309605,-6.432981080390164,6.776768117413927e-4
2018-01-01T16:00:00Z,1773223.8543075724,21728.465762539392,1526883.8509988764,21703.621145953053,-246340.00330869597,-24.844616586338816,6.789479646939725e-4
2018-01-01T17:00:00Z,1795691.819839778,13782.994705141851,1549484.7794946947,13907.587499629914,-246207.04034508322,124.59279448806228,6.785814999204399e-4
2018-01-01T18:00:00Z,1812701.7440213333,18224.41357381842,1563423.6881296244,17989.055197049573,-249278.05589170894,-235.35837676884694,6.870456540444952e-4
2018-01-01T19:00:00Z,1886643.532982369,17043.92457441074,1633654.1199849378,17192.104966193576,-252989.41299743112,148.18039178283652,6.972746802657254e-4
2018-01-01T20:00:00Z,1980277.4648463014,25739.76220656489,1722891.9480956355,25651.549029221114,-257385.51675066585,-88.2131773437759,7.093909653016641e-4
2018-01-01T21:00:00Z,2077388.6178952162,41785.31769422322,1821124.0773254267,41778.14529003013,-256264.54056978947,-7.17240419308655,7.06301396062994e-4
2018-01-01T22:00:00Z,2080946.3233029516,45524.210663534126,1822803.144731176,45607.46970602291,-258143.17857177556,83.25904248878214,7.114791886696087e-4
2018-01-01T23:00:00Z,1990138.9266977129,41504.854507580334,1734801.8469518959,41405.402098923696,-255337.079745817,-99.452408656638,7.037451825763017e-4
2018-01-02T00:00:00Z,1877494.3186570932,45886.010392572774,1627435.8937967923,46038.701265343014,-250058.42486030096,152.69087277023937,6.891964615293515e-4
2018-01-02T01:00:00Z,1765196.3730680908,51916.44953041759,1528386.559559154,51788.30750498861,-236809.81350893667,-128.14202542897692,6.526814108221458e-4
2018-01-02T02:00:00Z,1658261.3511119387,45570.572492699706,1436566.9287793303,45372.333156187844,-221694.42233260837,-198.23933651186235,6.110212503249447e-4
2018-01-02T03:00:00Z,1573529.8825706027,42618.1299460446,1366391.7509828983,43009.13688803443,-207138.1315877044,391.0069419898282,5.709020498621533e-4
2018-01-02T04:00:00Z,1468340.0310495486,39686.46518885603,1267356.2933353893,39607.05114655325,-200983.7377141593,-79.41404230278567,5.53939668039286e-4
2018-01-02T05:00:00Z,1425752.2713367974,35944.61452709434,1230266.1863305722,35915.77702569947,-195486.08500622516,-28.837501394868013,5.387873579535842e-4
2018-01-02T06:00:00Z,1437265.8043186127,38666.87465876942,1242536.6242285785,38732.23966193111,-194729.18009003415,65.36500316169258,5.367012207228771e-4
2018-01-02T07:00:00Z,1513384.9564218912,42542.41301930525,1322160.750697099,42614.58071510368,-191224.20572479232,72.16769579843094,5.270410145865502e-4
2018-01-02T08:00:00Z,1602261.488585928,53405.9434486179,1411791.917062576,53140.7863204077,-190469.57152335206,-265.15712821020134,5.249611357675413e-4
2018-01-02T09:00:00Z,1702989.8902293153,56776.6776501211,1494913.9534504507,56889.80938636248,-208075.9367788646,113.1317362413829,5.73486773890998e-4
2018-01-02T10:00:00Z,1769598.2797590178,53153.652282568495,1545893.5179690074,53235.062767275536,-223704.76179001038,81.41048470704118,6.165620308096988e-4
2018-01-02T11:00:00Z,1802066.977647214,49472.50825835856,1570486.1156009627,49365.29190701866,-231580.8620462513,-107.21635133989912,6.382696794533475e-4
2018-01-02T12:00:00Z,1846140.7940120853,53171.989975763165,1609595.6449221768,53052.72102768644,-236545.14908990846,-119.26894807672215,6.51951958170475e-4
2018-01-02T13:00:00Z,1862359.7525562218,45712.54173033601,1617299.6754608043,45979.1777047716,-245060.07709541754,266.6359744355941,6.754203066368487e-4
2018-01-02T14:00:00Z,1843157.5794357387,46222.00425497856,1594584.7066242807,46153.38579012103,-248572.87281145807,-68.61846485752903,6.851020695245543e-4
2018-01-02T15:00:00Z,1824834.677526234,30290.39386898558,1574367.0194079108,30324.5552167918,-250467.6581183232,34.161347806220874,6.903243663920916e-4
2018-01-02T16:00:00Z,1819544.669066976,22232.678383081893,1569865.2012680457,22074.07212541014,-249679.46779893036,-158.60625767175225,6.881520021558507e-4
2018-01-02T17:00:00Z,1837132.3640012222,17352.264012401974,1589566.4270299359,17421.326131127113,-247565.9369712863,69.06211872513813,6.8232681162864e-4
2018-01-02T18:00:00Z,1838389.5830670153,18366.82646532228,1588200.4659578518,18456.962142759046,-250189.11710916343,90.13567743676685,6.895566678911874e-4
2018-01-02T19:00:00Z,1869587.437600926,16487.65656673495,1622778.910149109,16168.595493609733,-246808.52745181695,-319.06107312521635,6.802392836397767e-4
2018-01-02T20:00:00Z,1901734.7032013794,27152.282178734313,1659811.9969835742,27553.34527505672,-241922.70621780516,401.06309632240664,6.667732678155664e-4
2018-01-02T21:00:00Z,1949263.5382070246,41361.7021929638,1711820.4475848742,40814.08543570647,-237443.09062215034,-547.6167572573322,6.544268123051721e-4
2018-01-02T22:00:00Z,1930910.360100869,45720.37961533046,1696086.6650920168,46212.31781220233,-234823.6950088523,491.9381968718735,6.47207386728773e-4
2018-01-02T23:00:00Z,1821501.520576965,42161.83194320433,1594945.4979676649,42303.20964235043,-226556.0226093002,141.37769914610544,6.244205097577672e-4
2018-01-03T00:00:00Z,1648713.5001974686,43438.07623570522,1439429.795474003,43214.622571050655,-209283.7047234655,-223.45366465456755,5.76815553532126e-4
2018-01-03T01:00:00Z,1515146.5264635058,45624.40249530347,1326896.7047577032,45525.83739438205,-188249.82170580258,-98.5651009214198,5.188431906489547e-4
2018-01-03T02:00:00Z,1391531.3385676201,49300.66632696965,1221903.6485148584,49326.02853973489,-169627.6900527617,25.362212765241566,4.6751795636188923e-4
2018-01-03T03:00:00Z,1298225.651135675,45024.65640860158,1142705.1549108764,45149.54497233472,-155520.4962247985,124.88856373314047,4.286365306559861e-4
2018-01-03T04:00:00Z,1183232.367140116,36674.942735497076,1038623.664488763,36581.92330792082,-144608.70265135297,-93.01942757625511,3.9856208095904533e-4
2018-01-03T05:00:00Z,1140118.810812253,36194.24376993808,1001785.8591226751,36265.2283887562,-138332.9516895779,70.98461881811818,3.812652218001861e-4
2018-01-03T06:00:00Z,1128158.9562315226,33615.94931830348,993200.0343566844,33575.20710479432,-134958.92187483818,-40.74221350916196,3.719659174047743e-4
2018-01-03T07:00:00Z,1216287.1617350832,37685.51230360885,1077585.8496529597,37614.15797323438,-138701.31208212348,-71.35433037446637,3.8228047525246155e-4
2018-01-03T08:00:00Z,1354290.102881201,47725.621154631255,1204330.3347740173,48046.45684322692,-149959.76810718374,320.8356885956673,4.133103758010641e-4
2018-01-03T09:00:00Z,1424621.2030903692,53371.929985434224,1263686.5660000583,53234.84094034173,-160934.63709031092,-137.0890450924926,4.435586702672279e-4
2018-01-03T10:00:00Z,1416184.9931961452,51328.31238658491,1252735.6656726098,51292.598250242045,-163449.32752353535,-35.71413634286728,4.5048951352671105e-4
2018-01-03T11:00:00Z,1426299.008987926,50968.80486919561,1258838.0854085784,50851.6802481457,-167460.92357934755,-117.12462104990846,4.6154604084945757e-4
2018-01-03T12:00:00Z,1457401.745804037,48409.14388000077,1281311.8538784755,48420.90070749252,-176089.89192556147,11.7568274917503,4.853287006585875e-4
2018-01-03T13:00:00Z,1486110.6446718734,54661.40995165226,1299806.0686006814,54982.319582559205,-186304.57607119204,320.90963090694277,5.134818179660389e-4
2018-01-03T14:00:00Z,1481601.2574828477,40123.168479210035,1289029.2564039575,39903.707699364,-192572.00107889017,-219.4607798460347,5.307557296153634e-4
2018-01-03T15:00:00Z,1480266.581813965,24272.82069330156,1281934.7866245012,24304.46800252464,-198331.79518946377,31.64730922308081,5.46630538561963e-4
2018-01-03T16:00:00Z,1487799.5518415337,21664.135951735465,1285745.5505758827,21710.34989627851,-202054.00126565108,46.21394454304391,5.568894660834994e-4
2018-01-03T17:00:00Z,1532296.4780545565,14053.105968207072,1324439.2867964697,14144.35078031287,-207857.19125808682,91.2448121057987,5.728838802313277e-4
2018-01-03T18:00:00Z,1578870.0990559675,16188.11626378472,1362862.051057062,15963.331637527324,-216008.04799890541,-224.78462625739485,5.95348796689724e-4
2018-01-03T19:00:00Z,1653622.5331822445,18644.110132580576,1431449.746942604,18692.09869259408,-222172.78623964055,47.988560013505776,6.1233968905475e-4
2018-01-03T20:00:00Z,1723390.748435405,26208.926171565934,1496704.0335772405,26292.998579478655,-226686.71485816455,84.07240791272125,6.247807161196082e-4
2018-01-03T21:00:00Z,1818962.3568847852,37645.065859344795,1590626.8508175197,37687.95239988074,-228335.50606726552,42.88654053594655,6.2932501838716e-4
2018-01-03T22:00:00Z,1845706.0782885524,41713.59365229237,1615874.1712019783,41586.93047308878,-229831.907086574,-126.66317920359143,6.334493116922646e-4
2018-01-03T23:00:00Z,1712732.5180088845,43733.54971153566,1498694.4412051844,44039.37511094375,-214038.07680370007,305.82539940808783,5.899192768572737e-4
2018-01-04T00:00:00Z,1504605.363997355,44016.15722520533,1318768.5551643698,43821.245292700565,-185836.80883298535,-194.911932504765,5.121925851574601e-4
2018-01-04T01:00:00Z,1323080.1378686312,49421.19229433795,1163823.306675877,49262.95574822255,-159256.8311927542,-158.23654611539678,4.389343994058275e-4
2018-01-04T02:00:00Z,1206463.545129483,47165.72997370328,1064264.3231280032,47349.32873258392,-142199.22200147994,183.59875888063834,3.9192121077463276e-4
2018-01-04T03:00:00Z,1109776.7634369135,43731.257499886335,982383.1061994019,43677.35355497133,-127393.6572375116,-53.90394491500774,3.5111497578386525e-4
2018-01-04T04:00:00Z,1007160.1363292679,34706.080813340595,890325.8072758953,34798.7305293605,-116834.32905337261,92.64971601990692,3.220119706573577e-4
2018-01-04T05:00:00Z,947625.0232413674,33123.19775600767,839117.909774287,32806.50283684304,-108507.1134670804,-316.6949191646272,2.990609842242036e-4
