time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electricity_unitized,incremental_gas_unitized
2018-01-01T15:00:00Z,1769230.4239697494,14944.850242109764,1308997.9219029015,14945.515722911185,-460232.50206684787,0.6654808014209266,3.8853635139358907e-4,7.298733767018924e-7
2018-01-01T16:00:00Z,1773223.8543075726,21728.465762539392,1284994.1962957436,20928.26206998757,-488229.658011829,-800.2036925518223,0.00041217204155325604,-8.776321869617736e-4
2018-01-01T17:00:00Z,1795691.8198397774,13782.994705141851,1302121.9453425866,14011.772216207763,-493569.8744971908,228.7775110659113,4.166803459853776e-4,2.5091424750135625e-4
2018-01-01T18:00:00Z,1812701.7440213328,18224.41357381842,1327051.365662245,18068.469239352355,-485650.37835908774,-155.9443344660649,4.099945684260881e-4,-1.7103366127354814e-4
2018-01-01T19:00:00Z,1886643.5329823692,17043.92457441074,1400858.4255481996,17210.886313255873,-485785.1074341696,166.96173884513337,4.1010830907461655e-4,1.8311712051004482e-4
2018-01-01T20:00:00Z,1980277.4648463011,25739.762206564894,1503629.4612587485,25143.121696936294,-476648.0035875526,-596.6405096285998,4.02394605729186e-4,-6.543720307331925e-4
2018-01-01T21:00:00Z,2077388.617895216,41785.31769422321,1603687.245146391,41656.51018799282,-473701.372748825,-128.80750623039057,3.9990700828693333e-4,-1.4127104691253218e-4
2018-01-01T22:00:00Z,2080946.3233029505,45524.21066353413,1593952.9433209011,45646.65913099541,-486993.37998204934,122.44846746127587,4.111283539543978e-4,1.3429670131295669e-4
2018-01-01T23:00:00Z,1990138.9266977122,41504.85450758033,1472134.1430927727,41397.93392548553,-518004.78360493947,-106.92058209479728,4.3730872487805235e-4,-1.1726632252325651e-4
2018-01-02T00:00:00Z,1877494.318657094,45886.01039257278,1354617.085804996,46274.577238290745,-522877.23285209783,388.5668457179636,4.4142213200236354e-4,4.2616495495140396e-4
2018-01-02T01:00:00Z,1765196.3730680915,51916.44953041758,1241407.5743952608,51686.56288468262,-523788.7986728307,-229.8866457349577,4.421916918584191e-4,-2.5213070312920535e-4
2018-01-02T02:00:00Z,1658261.3511119392,45570.572492699706,1136171.299372678,45036.04352453698,-522090.05173926125,-534.5289681627255,4.4075757989860305e-4,-5.862505155744356e-4
2018-01-02T03:00:00Z,1573529.8825706034,42618.12994604458,1058289.3157195929,42835.74216810892,-515240.56685101055,217.6122220643374,4.3497512460599554e-4,2.3866859418118368e-4
2018-01-02T04:00:00Z,1468340.0310495486,39686.46518885603,972424.5082170803,39406.37171376952,-495915.5228324684,-280.0934750865126,4.186605834561089e-4,-3.0719559454917103e-4
2018-01-02T05:00:00Z,1425752.2713367965,35944.61452709434,938200.8001298767,36866.45332168347,-487551.47120691976,921.83879458913,4.115995043561668e-4,0.0010110368208143066
2018-01-02T06:00:00Z,1437265.8043186127,38666.87465876942,949105.0246541598,37748.28932587612,-488160.7796644529,-918.5853328933008,4.121138932441745e-4,-0.0010074685509726602
2018-01-02T07:00:00Z,1513384.9564218912,42542.413019305255,1017511.820264732,42560.67677018867,-495873.1361571592,18.263750883415923,4.1862479988128884e-4,2.0030969338346674e-5
2018-01-02T08:00:00Z,1602261.4885859278,53405.943448617916,1108443.3492762242,53712.06461727106,-493818.1393097036,306.121168653146,4.168899354950275e-4,3.3574175328234386e-4
2018-01-02T09:00:00Z,1702989.8902293157,56776.677650121106,1213310.0023980667,57126.202955489105,-489679.88783124904,349.52530536799895,4.133963510059548e-4,3.833457168516288e-4
