time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electricity_unitized,incremental_gas_unitized
2018-01-01T15:00:00Z,336633.7137774788,7118671.3506746665,4792248.863747254,167888.2360053311,4455615.149969775,-6950783.114669335,0.0010291713026534038,6.133942974026319e-4
2018-01-01T16:00:00Z,330850.4556145038,7240246.633382153,4756735.13738122,181554.32791635676,4425884.681766717,-7058692.305465796,0.0010223040702603088,6.22917092342412e-4
2018-01-01T17:00:00Z,323009.42528604437,7350428.662942395,4869082.029488143,149120.79009755395,4546072.604202098,-7201307.87284484,0.0010500654357581496,6.355026635374799e-4
2018-01-01T18:00:00Z,317715.1276989291,7506939.395512795,5035018.5465662675,148984.95807175327,4717303.418867338,-7357954.437441042,0.001089616841041576,6.493264453827567e-4
2018-01-01T19:00:00Z,329295.77291664673,7767086.858192224,5258889.827437843,173160.5446257358,4929594.0545211965,-7593926.313566488,0.0011386523664815328,6.701505454553476e-4
2018-01-01T20:00:00Z,357360.7980024457,8037231.469239814,5564098.110603287,246705.04625999002,5206737.312600841,-7790526.422979824,0.0012026677444572026,6.875001568578911e-4
2018-01-01T21:00:00Z,444011.2728079632,8275169.397479599,5772999.073740796,364478.8808028371,5328987.800932833,-7910690.516676762,0.0012309055275896855,6.981044252705682e-4
2018-01-01T22:00:00Z,503183.32383773074,8315565.560972013,5761951.541885707,404804.28150336794,5258768.218047976,-7910761.279468644,0.0012146859984883272,6.98110669961604e-4
2018-01-01T23:00:00Z,506085.549588045,8009272.402502833,5390567.566501002,385386.88267953735,4884482.016912957,-7623885.519823296,0.0011282322532204187,6.727943923384206e-4
2018-01-02T00:00:00Z,500912.86139079765,7604362.161667414,4969845.50105931,393768.53943110985,4468932.639668512,-7210593.622236304,0.001032247416222462,6.363221144727008e-4
2018-01-02T01:00:00Z,504678.4633488462,7183647.860932945,4527810.759289155,433842.97992719384,4023132.295940309,-6749804.881005751,9.29275120583059e-4,5.956583242903187e-4
2018-01-02T02:00:00Z,471504.83468203695,6687336.124234146,4054531.2348802956,432202.05215551495,3583026.4001982585,-6255134.072078631,8.276181455569816e-4,5.520045016516767e-4
2018-01-02T03:00:00Z,466597.82011037297,6306885.7781395465,3728949.3420857517,398157.7550280306,3262351.5219753785,-5908728.023111516,7.535477038692381e-4,5.214347814465148e-4
2018-01-02T04:00:00Z,448456.8276823906,5997660.363374687,3477620.578474448,373795.7599073388,3029163.7507920573,-5623864.603467348,6.996852956149681e-4,4.9629608926382e-4
2018-01-02T05:00:00Z,447503.12748798984,5841891.198244022,3372032.090364201,346400.35540915246,2924528.962876211,-5495490.842834869,6.755164396079709e-4,4.84967332286508e-4
2018-01-02T06:00:00Z,466485.5458811384,5846543.574526745,3400316.36557405,339495.6223828646,2933830.8196929116,-5507047.952143881,6.77665010293481e-4,4.859872267110146e-4
2018-01-02T07:00:00Z,515700.76504005457,6046826.306810537,3595521.3865547273,383958.83482200146,3079820.621514673,-5662867.4719885355,7.113861709992106e-4,4.997380233219767e-4
2018-01-02T08:00:00Z,602533.1493270958,6215550.904298617,3801906.902354103,447068.0798938124,3199373.753027007,-5768482.824404804,7.39000910592615e-4,5.090583910879605e-4
2018-01-02T09:00:00Z,661448.6095902756,6457307.509261573,4095503.759501895,469851.4806112246,3434055.1499116193,-5987456.028650348,7.932083209749715e-4,5.283823884782298e-4
2018-01-02T10:00:00Z,663005.5630028804,6654486.88274139,4344909.984626077,456550.66371786676,3681904.4216231965,-6197936.219023523,8.5045728643619e-4,5.469568924386037e-4
