time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electric_unitized
2018-01-01T15:00:00Z,336633.71377747867,7118671.3506746665,950343.5733986868,5610593.3634985015,613709.8596212082,-1508077.987176165,2.5578092969294464e-4
2018-01-01T16:00:00Z,330850.4556145036,7240246.633382151,952237.8541022745,5719686.222813767,621387.3984877709,-1520560.4105683835,2.589807610110453e-4
2018-01-01T17:00:00Z,323009.4252860442,7350428.6629424,920366.6064945915,5883875.272870928,597357.1812085472,-1466553.3900714722,2.489654887776857e-4
2018-01-01T18:00:00Z,317715.127698929,7506939.395512791,840075.1421916294,6247904.140767383,522360.0144927004,-1259035.254745408,2.1770829985333633e-4
2018-01-01T19:00:00Z,329295.7729166467,7767086.858192223,860004.7009365709,6446607.908936338,530708.9280199242,-1320478.9492558856,2.2118794553678252e-4
2018-01-01T20:00:00Z,357360.7980024456,8037231.469239819,895499.2523780605,6694857.092482552,538138.4543756149,-1342374.376757267,2.2428441063123238e-4
2018-01-01T21:00:00Z,444011.2728079632,8275169.397479601,982205.2335440954,6924882.158224193,538193.9607361322,-1350287.2392554078,2.2430754447579172e-4
2018-01-01T22:00:00Z,503183.32383773057,8315565.560972007,1034982.447238608,6959866.927608709,531799.1234008775,-1355698.6333632981,2.2164231527472235e-4
2018-01-01T23:00:00Z,506085.5495880451,8009272.402502834,1015927.1136718652,6704054.258985113,509841.5640838201,-1305218.1435177205,2.124908818280259e-4
2018-01-02T00:00:00Z,500912.86139079765,7604362.161667416,1096628.568137764,6062638.796133068,595715.7067469663,-1541723.3655343475,2.4828135790172176e-4
2018-01-02T01:00:00Z,504678.4633488462,7183647.860932947,1373651.9829390012,4852196.3579688575,868973.519590155,-2331451.5029640896,3.621692746740403e-4
2018-01-02T02:00:00Z,471504.8346820372,6687336.124234147,1307076.1403206948,4306070.647418268,835571.30563865765,-2381265.4768158793,3.4824795794044587e-4
2018-01-02T03:00:00Z,466597.8201103732,6306885.778139547,1276908.9379809946,3898347.8628891218,810311.1178706214,-2408537.9152504257,3.377200607423879e-4
2018-01-02T04:00:00Z,448456.8276823905,5997660.363374692,1242916.5904965075,3589909.7119123475,794459.7628141169,-2407750.651462345,3.3111356050504744e-4
2018-01-02T05:00:00Z,447503.12748798996,5841891.19824402,1233280.9386117593,3434218.4819777464,785777.8111237694,-2407672.716266274,3.274951117542372e-4
2018-01-02T06:00:00Z,466485.5458811384,5846543.574526744,1256079.166989064,3427543.339827951,789593.6211079257,-2419000.234698793,3.2908545841394625e-4
2018-01-02T07:00:00Z,515700.7650400548,6046826.306810539,1318635.0875974821,3624858.841102826,802934.3225574273,-2421967.4657077133,3.346455728002715e-4
2018-01-02T08:00:00Z,602533.1493270958,6215550.904298624,1421276.1879640822,3804411.1809415785,818743.0386369864,-2411139.7233570456,3.412343020388358e-4
2018-01-02T09:00:00Z,661448.6095902764,6457307.509261573,1460642.5603535257,4191254.8750377335,799193.9507632493,-2266052.6342238393,3.3308666713839635e-4
2018-01-02T10:00:00Z,663005.5630028809,6654486.882741392,1372213.863598237,4728426.911116781,709208.3005953562,-1926059.971624611,2.9558260410578673e-4
2018-01-02T11:00:00Z,636845.9198927723,6809893.286892983,1364843.880429287,4842600.420581632,727997.9605365146,-1967292.8663113508,3.0341372595110006e-4
2018-01-02T12:00:00Z,573538.1404009387,6972179.209742719,1282383.6312398012,5100819.615667783,708845.4908388625,-1871359.5940749366,2.954313928854311e-4
2018-01-02T13:00:00Z,477184.396871494,7171152.423693925,1084274.1137940586,5627827.171928253,607089.7169225645,-1543325.2517656721,2.530217981137255e-4
2018-01-02T14:00:00Z,391571.89100771333,7281184.794016174,1014591.4287964274,5722379.867270976,623019.537788714,-1558804.9267451977,2.596610011949676e-4
2018-01-02T15:00:00Z,347739.27500946843,7272388.32089838,975159.9625841941,5705492.848281083,627420.6875747257,-1566895.4726172974,2.614953047609536e-4
2018-01-02T16:00:00Z,326739.95731631026,7204629.213582428,956533.0372000171,5638060.935692493,629793.0798837069,-1566568.2778899353,2.624840663082459e-4
2018-01-02T17:00:00Z,314869.6698173291,7293924.906363177,953892.952852345,5693492.4548160145,639023.2830350159,-1600432.4515471626,2.663310143510128e-4
2018-01-02T18:00:00Z,315872.568831282,7413512.397916825,956620.3335670186,5803898.825348641,640747.7647357367,-1609613.5725681838,2.6704974083997796e-4
